"Protein","term","estimate","std.error","statistic","p.value"
"CD20","CancerTypeIC",9.30263638868231,7.32340656108177,1.27026081524937,0.204287208580407
"CD25","(Intercept)",66.44925770433,2.88944656434053,22.9972267092248,2.79190392552924e-94
"CD25","CancerTypeIM",-4.83858501727591,4.51156913782133,-1.07248384530188,0.283761511977601
"CD25","CancerTypeLGD",-2.58621802557818,4.08113179491037,-0.63370117789469,0.526420767790939
"CD25","CancerTypeHGD",-4.37907721784471,3.80604349225518,-1.15055890106237,0.250188799678384
"CD25","CancerTypeIC",23.6044424445101,4.0462318406311,5.8336851110411,7.31601175974593e-09
"CD27","(Intercept)",26.8012374467955,1.95501490358563,13.7089683549932,2.53197260140375e-39
"CD27","CancerTypeIM",2.5655302861505,3.05255165880209,0.840454338832481,0.400854595652171
"CD27","CancerTypeLGD",4.65528703629445,2.76131546470317,1.68589467440471,0.0921280394397098
"CD27","CancerTypeHGD",1.3765577304513,2.57518925696147,0.53454623839008,0.593082491070431
"CD27","CancerTypeIC",2.91162246996287,2.73770197013557,1.0635279156477,0.287799359306982
"CD3","(Intercept)",153.045106209239,8.61029869263468,17.7746570325319,1.23737508870672e-61
"CD3","CancerTypeIM",-18.9877306463583,13.444082451125,-1.41234857160293,0.158158470465305
"CD3","CancerTypeLGD",-4.15324086547501,12.1614167196778,-0.341509625170137,0.73279170759107
"CD3","CancerTypeHGD",-5.85701446160469,11.3416775758769,-0.516415179537659,0.60567864075467
"CD3","CancerTypeIC",8.70550641229837,12.0574179005225,0.722004203895192,0.470460684502923
"CD34","(Intercept)",358.982052864928,16.3053469840111,22.0162167181687,6.64734365492387e-88
"CD34","CancerTypeIM",-92.218678093872,25.4590969573172,-3.62222895212971,0.000306752607629479
"CD34","CancerTypeLGD",-63.7451821779354,23.0301092343202,-2.7679062018056,0.00574596498629085
"CD34","CancerTypeHGD",-108.132506674347,21.4777668994969,-5.03462520942433,5.6766811651189e-07
"CD34","CancerTypeIC",-29.5138094744968,22.833166376379,-1.29258504878364,0.196453191330781
"CD4","(Intercept)",480.83359714756,21.4162141665975,22.4518485576927,1.00484075858774e-90
"CD4","CancerTypeIM",-76.4934946817184,33.439182463319,-2.28754081430154,0.0223723618400027
"CD4","CancerTypeLGD",-41.9463251421379,30.2488350677837,-1.38670877897088,0.165839623714914
"CD4","CancerTypeHGD",-38.0649337068394,28.2099152008803,-1.34934591032204,0.177531298818823
"CD4","CancerTypeIC",-43.8555436871618,29.9901610004126,-1.46233105205932,0.143964702265666
"CD40","(Intercept)",26.8873245381272,1.50039485178213,17.9201658191449,1.71577707961317e-62
"CD40","CancerTypeIM",-4.44012971807766,2.34270991247461,-1.89529642335766,0.0583413171434538
"CD40","CancerTypeLGD",-1.99885586983156,2.11919791495623,-0.943213399619095,0.345799575826903
"CD40","CancerTypeHGD",-4.43333355373179,1.97635357992575,-2.24318846524333,0.0251029701099001
"CD40","CancerTypeIC",7.11161377821723,2.10107551311835,3.38474925523376,0.000740112745356934
"CD44","(Intercept)",1311.84830529646,105.35361388687,12.4518586206747,3.42753667528407e-33
"CD44","CancerTypeIM",-27.8930474510778,164.498668650212,-0.169563970820878,0.865387353853163
"CD44","CancerTypeLGD",-154.920381112727,148.80426883428,-1.04110172595424,0.298079974689283
"CD44","CancerTypeHGD",-5.06864490303086,138.77413116695,-0.0365244218098048,0.970871495419585
"CD44","CancerTypeIC",-0.680208935490051,147.531763451005,-0.00461059313315906,0.996322211531249
"CD45","(Intercept)",661.459383584526,41.5629176044215,15.9146523321587,5.29631574805678e-51
"CD45","CancerTypeIM",-164.082158202675,64.8961564668061,-2.52838021750336,0.0116119492535066
"CD45","CancerTypeLGD",-25.1003329315824,58.7045791460615,-0.427570272995754,0.669056066780214
"CD45","CancerTypeHGD",65.2583196586272,54.7476025408176,1.19198497523199,0.233549929869187
"CD45","CancerTypeIC",171.932938633498,58.20256469734,2.9540440275711,0.00320983726696093
"CD45RO","(Intercept)",114.955349426314,4.70570550363016,24.4289298039651,9.84663672078379e-104
"CD45RO","CancerTypeIM",-14.4311051057083,7.34746784517859,-1.96409231177215,0.0497960555766451
"CD45RO","CancerTypeLGD",-6.16317430684762,6.64646461552851,-0.927286108233879,0.354001750913601
"CD45RO","CancerTypeHGD",-10.0158025625638,6.19846029672074,-1.61585330599966,0.106441452060801
"CD45RO","CancerTypeIC",-17.9376455423598,6.58962711974118,-2.72210327176515,0.00659957198738375
"CD56","(Intercept)",370.463990622959,41.801145501874,8.86253202334732,3.51811725755393e-18
"CD56","CancerTypeIM",-75.3976488293828,65.268124456517,-1.15519864339926,0.248285041010092
"CD56","CancerTypeLGD",-93.4386769856983,59.0410586154266,-1.58260504091443,0.11382771018053
"CD56","CancerTypeHGD",-129.662012110167,55.0614016433733,-2.35486217641123,0.018722040604231
"CD56","CancerTypeIC",-22.1714762183853,58.5361667496829,-0.378765427418518,0.704942463258549
"CD66b","(Intercept)",41.3276035661106,19.3045216440683,2.14082505270518,0.0325294164041797
"CD66b","CancerTypeIM",-20.946601139079,30.1419950604485,-0.694930813208333,0.48726009463636
"CD66b","CancerTypeLGD",-5.75613127865439,27.2662239334831,-0.211108486921279,0.832845629732299
"CD66b","CancerTypeHGD",18.7264072345709,25.4283466880013,0.736438253903754,0.461636751864175
